business_accomodation_and_food_services,business_admin_support_and_waste_mngmt,business_agriculture_forestry_fishing_hunting,business_arts_entertain_rec,business_construction,business_education_services,business_finance_and_insurance,business_health_care_social_assit,business_unclassified,business_information,business_mngmt_companies,business_manufacturing,business_oil_extraction,business_other_services,business_profess_scientif_tech_services,business_real_estate_rental_leasing,business_retail,business_transportation_warehousing,business_utilities,business_wholesale_trade,business_zip
76.0,40.0,0.0,10.0,114.0,9.0,34.0,93.0,0.0,7.0,5.0,76.0,0.0,80.0,64.0,36.0,131.0,34.0,0.0,36.0,01085
0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01086
4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,01088
94.0,67.0,0.0,14.0,84.0,10.0,51.0,111.0,0.0,12.0,7.0,54.0,0.0,70.0,69.0,35.0,181.0,28.0,0.0,60.0,01089
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,01090
3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,01092
0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,6.0,3.0,0.0,4.0,01093
23.0,21.0,0.0,5.0,30.0,4.0,22.0,35.0,0.0,0.0,4.0,10.0,0.0,33.0,35.0,15.0,35.0,6.0,0.0,14.0,01095
4.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,8.0,3.0,0.0,0.0,01096
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01098
0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,01101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01102
41.0,24.0,0.0,4.0,9.0,8.0,37.0,69.0,0.0,16.0,0.0,5.0,0.0,35.0,142.0,21.0,29.0,3.0,0.0,0.0,01103
42.0,17.0,0.0,3.0,28.0,6.0,11.0,98.0,0.0,8.0,9.0,31.0,0.0,52.0,24.0,20.0,75.0,28.0,4.0,52.0,01104
23.0,11.0,0.0,4.0,12.0,6.0,16.0,46.0,0.0,14.0,0.0,4.0,0.0,32.0,22.0,15.0,37.0,6.0,0.0,13.0,01105
