zip,property_value_avg
15235,125923
92688,712509
72756,209940
18042,165550
2740,281027
2149,502915
11561,652595
79762,190736
28054,186531
27127,163161
27320,129817
78207,94671
33917,214977
32507,246727
33484,160836
90660,555315
53214,161280
14701,76909
85249,485897
31909,166498
72703,252473
27909,164389
72076,110290
55304,368792
55379,325262
28212,220563
12603,309936
30115,348112
32955,270046
63368,293453
60651,223785
70808,295505
7726,518241
78526,140409
44122,270923
60193,294812
95023,673521
45385,158022
33410,390852
79707,334846
46037,341089
21236,265611
34207,170096
92833,694440
92064,827848
27030,121082
33032,293755
63385,275442
43017,416146
78006,415545
76522,132436
28115,254979
92127,1011334
95825,364298
77498,241710
87031,184910
33445,204569
53221,188137
55406,302896
78852,141926
27292,149311
49441,168514
19805,156840
11435,370856
64055,162875
32163,380719
76513,216386
1420,262032
48430,271329
82001,270942
97303,346910
28304,116078
33881,176780
21093,405685
30126,270417
40219,171435
85286,449434
28803,331460
53051,289994
91765,747680
18017,262654
28411,302681
98058,553178
85027,273263
78412,159139
35216,325960
92544,322624
77901,104764
29203,82830
22801,262253
61820,123318
34761,288732
55110,314403
93711,396244
98223,480798
19401,174568
46368,196367
94521,507453
32724,240899
32714,237091
10977,521074
15221,113731
60188,270204
27295,174982
97477,308323
28273,261206
85716,241808
1085,269078
17042,187666
33610,184745
98036,616587
43065,400434
50023,265289
45342,183324
33131,382412
60477,231454
2130,675643
39047,215272
92660,2105145
49503,201835
92040,598043
7036,354654
85704,333158
22901,363739
85635,185002
70605,221446
61701,115592
70560,91827
42420,128376
62702,81253
60707,290092
90275,1420751
30134,194479
30038,180869
95240,378095
27893,85985
78574,131079
30132,254524
20032,386690
2128,532428
85226,373277
85015,255973
91605,686165
95136,1084762
2472,658822
78232,302455
11249,1238592
6360,178648
11550,432436
60120,200596
60025,491837
32738,212491
98503,367487
33624,281423
36608,166287
38125,213930
14624,163776
10034,422375
80205,541182
75028,384582
93304,206821
86314,301869
97217,495176
36301,114936
34145,581325
8861,322058
80909,302763
38671,156400
48146,108018
85745,260408
84121,538820
99504,304303
90745,599099
88310,139319
95826,396149
33018,351789
85730,208345
80227,461964
48910,100176
80021,457709
48047,260456
30316,331460
32818,245007
37363,295435
76021,301182
33172,213255
91764,474244
95403,624229
32207,206829
19063,440047
33401,251930
93611,375711
83501,269175
95821,416864
84010,423742
20748,320834
46385,262775
33771,206583
30252,262336
80203,371266
70570,121545
75050,207599
92584,449327
30019,304534
60563,331686
85051,246449
90804,565854
60540,425967
98382,399832
80524,475090
38134,170958
55119,250327
79925,161190
95667,448202
72450,119896
95127,870560
91016,787399
95476,879780
95111,866168
70118,397950
30165,143725
22033,562328
33040,671066
95062,1015932
27560,350898
50315,145656
21045,375396
29461,244418
12601,263696
38116,126997
38127,67644
95126,1101533
70458,191406
80906,453885
7753,358620
43213,147728
21060,310217
32707,257982
32811,159129
45373,191949
76904,240329
30152,325896
94901,1269138
63701,168684
60653,310068
94606,764514
78041,184761
84321,290410
48105,409089
73170,216409
91913,657834
33428,327841
11743,720560
90815,785172
92506,516097
55423,296189
27530,132885
27502,376907
49120,140942
31313,140135
30213,218791
71203,143161
71854,106339
89101,221113
93455,503207
83706,413974
75154,254920
34232,268178
8094,217627
28208,195279
89128,288091
49203,124482
31405,210975
97224,500704
73112,148224
61704,215268
84020,602481
30305,558404
49221,145646
43110,224895
58078,259670
33880,175466
33573,211276
33611,339898
74136,204509
46219,142942
95926,383419
49508,233904
7307,600010
12401,243031
19966,276880
27105,95147
19082,126156
89015,296440
28092,190007
27704,217259
8902,353126
94040,2470745
76210,288829
37207,279778
64804,149258
85086,434206
27330,155299
30084,281872
