libname,address,city,zip,cnty,sq_feet,longitude,latitude
ELLINGTON FARMAN LIBRARY,760 THORNTON ROAD,ELLINGTON,14732,CHAUTAUQUA,3500,-79.1087,42.21739
FALCONER PUBLIC LIBRARY,101 WEST MAIN STREET,FALCONER,14733,CHAUTAUQUA,5200,-79.1996,42.11749
FLUVANNA FREE LIBRARY,3532 FLUVANNA AVENUE EXTENSION,JAMESTOWN,14701,CHAUTAUQUA,2600,-79.2909,42.11893
DARWIN R. BARKER LIBRARY ASSOCIATION,7 DAY STREET,FREDONIA,14063,CHAUTAUQUA,7701,-79.3312,42.44053
MYERS MEMORIAL LIBRARY,26 IVORY STREET,FREWSBURG,14738,CHAUTAUQUA,4940,-79.1575,42.05472
JAMES PRENDERGAST LIBRARY ASSOCIATION,509 CHERRY STREET,JAMESTOWN,14701,CHAUTAUQUA,41810,-79.2431,42.09825
KENNEDY FREE LIBRARY,649 SECOND STREET,KENNEDY,14747,CHAUTAUQUA,4050,-79.1018,42.15836
LAKEWOOD MEMORIAL LIBRARY,12 WEST SUMMIT STREET,LAKEWOOD,14750,CHAUTAUQUA,5500,-79.3276,42.1034
MAYVILLE LIBRARY,92 SOUTH ERIE STREET,MAYVILLE,14757,CHAUTAUQUA,3726,-79.5015,42.25166
RIPLEY PUBLIC LIBRARY,64 WEST MAIN STREET,RIPLEY,14775,CHAUTAUQUA,4641,-79.7127,42.26594
MINERVA FREE LIBRARY,116 MILLER STREET,SHERMAN,14781,CHAUTAUQUA,6300,-79.5951,42.16117
ANDERSON-LEE LIBRARY,43 MAIN STREET,SILVER CREEK,14136,CHAUTAUQUA,2848,-79.1673,42.54267
SINCLAIRVILLE FREE LIBRARY,15 MAIN STREET,SINCLAIRVILLE,14782,CHAUTAUQUA,3500,-79.26,42.26402
MARY E. SEYMOUR MEMORIAL FREE LIBRARY,22 NORTH MAIN STREET,STOCKTON,14784,CHAUTAUQUA,2500,-79.3559,42.3175
CASSADAGA BRANCH LIBRARY,18 MAPLE AVENUE,CASSADAGA,14718,CHAUTAUQUA,3100,-79.3104,42.34414
PATTERSON LIBRARY,40 SOUTH PORTAGE STREET,WESTFIELD,14787,CHAUTAUQUA,17000,-79.5775,42.32091
ALMOND TWENTIETH CENTURY CLUB LIBRARY,MAIN STREET,ALMOND,14804,ALLEGANY,4000,-77.7979,42.32088
ANDOVER FREE LIBRARY,40 MAIN STREET,ANDOVER,14806,ALLEGANY,2880,-77.7952,42.1563
ANGELICA FREE LIBRARY,55 WEST MAIN STREET,ANGELICA,14709,ALLEGANY,1640,-78.0189,42.30689
BELFAST PUBLIC LIBRARY,75 SOUTH MAIN STREET,BELFAST,14711,ALLEGANY,1222,-78.1119,42.34113
FREE LIBRARY OF THE BELMONT LITERARY AND HIST,2 WILLETS AVENUE,BELMONT,14813,ALLEGANY,8000,-78.0351,42.22353
BOLIVAR FREE LIBRARY,390 MAIN STREET,BOLIVAR,14715,ALLEGANY,3072,-78.1464,42.09395
ESSENTIAL CLUB FREE LIBRARY,11 PRATT STREET,CANASERAGA,14822,ALLEGANY,2500,-77.7757,42.46205
CUBA CIRCULATING LIBRARY,39 EAST MAIN STREET,CUBA,14727,ALLEGANY,8939,-78.2741,42.2177
WIDE AWAKE CLUB LIBRARY,22 N. GENESEE ST.,FILLMORE,14735,ALLEGANY,4612,-78.1115,42.46721
FRIENDSHIP FREE LIBRARY,40 WEST MAIN STREET,FRIENDSHIP,14739,ALLEGANY,6900,-78.1351,42.2073
GENESEE LIBRARY,8351 STATE ROUTE 417,LITTLE GENESEE,14754,ALLEGANY,1600,-78.2102,42.02407
COLONIAL LIBRARY,160 MAIN STREET,RICHBURG,14774,ALLEGANY,1800,-78.154,42.0877
RUSHFORD FREE LIBRARY,9012 MAIN STREET,RUSHFORD,14777,ALLEGANY,1758,-78.2516,42.39235
SCIO MEMORIAL LIBRARY,3980 MAIN STREET,SCIO,14880,ALLEGANY,3648,-77.9787,42.17251
DAVID A HOWE PUBLIC LIBRARY,155 NORTH MAIN STREET,WELLSVILLE,14895,ALLEGANY,41545,-77.9489,42.12234
WHITESVILLE PUBLIC LIBRARY,500 MAIN STREET,WHITESVILLE,14897,ALLEGANY,1764,-77.7675,42.03781
DUTTON S PETERSON MEMORIAL LIBRARY,106 FIRST ST.,ODESSA,14869,SCHUYLER,1200,-76.7886,42.33572
WATKINS GLEN CEN SCH DIS FREE PUB LIB,610 SOUTH DECATUR STREET,WATKINS GLEN,14891,SCHUYLER,5100,-76.8666,42.37231
ADDISON PUBLIC LIBRARY,6 SOUTH STREET,ADDISON,14801,STEUBEN,14300,-77.2341,42.104730000000004
E J COTTRELL MEMORIAL LIBRARY,30 MAIN STREET,ATLANTA,14808,STEUBEN,2250,-77.4778,42.5533
AVOCA FREE LIBRARY,18 NORTH MAIN STREET,AVOCA,14809,STEUBEN,7920,-77.4215,42.41034
DORMANN LIBRARY,101 WEST MORRIS STREET,BATH,14810,STEUBEN,10000,-77.324,42.33351
WIMODAUGHSIAN FREE LIBRARY,19 WEST MAIN STREET,CANISTEO,14823,STEUBEN,3250,-77.6063,42.27126
SOUTHEAST STEUBEN COUNTY LIBRARY,300 CIVIC CENTER PLAZA SUITE 101,CORNING,14830,STEUBEN,22600,-77.0481,42.14229
FRED & HARRIETT TAYLOR MEMORIAL LIBRARY,21 WILLIAM STREET,HAMMONDSPORT,14840,STEUBEN,12000,-77.2206,42.4105
HORNELL PUBLIC LIBRARY,64 GENESEE STREET,HORNELL,14843,STEUBEN,8000,-77.6577,42.32797
HOWARD PUBLIC LIBRARY,3607 COUNTY ROUTE 70A,HORNELL,14843,STEUBEN,1800,-77.5098,42.36413
JASPER FREE LIBRARY,3807 LIBRARY STREET,JASPER,14855,STEUBEN,800,-77.5034,42.12158
PRATTSBURGH FREE LIBRARY,26 MAIN STREET,PRATTSBURGH,14873,STEUBEN,4320,-77.289,42.52347
PULTENEY FREE LIBRARY,9226 CTY RT 74,PULTENEY,14874,STEUBEN,1650,-77.1646,42.52641
DR. SANDOR & BERTHE BENEDEK MEMORIAL LIBRARY,7 MCCOY STREET,SAVONA,14879,STEUBEN,1600,-77.2186,42.28671
WAYLAND FREE LIBRARY,101 WEST NAPLES STREET,WAYLAND,14572,STEUBEN,6570,-77.593,42.56743
MODESTE BEDIENT MEMORIAL LIBRARY,3699 ROUTE 54A,BRANCHPORT,14418,YATES,3000,-77.1503,42.5865
DUNDEE LIBRARY,32 WATER STREET,DUNDEE,14837,YATES,5360,-76.9769,42.52463
PENN YAN PUBLIC LIBRARY,214 MAIN STREET,PENN YAN,14527,YATES,8261,-77.0559,42.66451
CHAMPLAIN MEMORIAL LIBRARY,148 ELM STREET,CHAMPLAIN,12919,CLINTON,3948,-73.4405,44.98581
CHAZY PUBLIC LIBRARY,1329 FISKE ROAD,CHAZY,12921,CLINTON,3944,-73.4359,44.88556
DANNEMORA FREE LIBRARY,40 EMMONS STREET,DANNEMORA,12929,CLINTON,1782,-73.7227,44.71568
MOOERS FREE LIBRARY,25 SCHOOL STREET,MOOERS,12958,CLINTON,1600,-73.586,44.96152
PERU FREE LIBRARY,3024 ROUTE 22,PERU,12972,CLINTON,4200,-73.5252,44.58179
PLATTSBURGH PUBLIC LIBRARY,19 OAK STREET,PLATTSBURGH,12901,CLINTON,31238,-73.4552,44.69703
ROUSES POINT DODGE MEMORIAL LIBRARY,144 LAKE STREET,ROUSES POINT,12979,CLINTON,1936,-73.3639,44.99025
DODGE LIBRARY,9 FISKE ROAD,WEST CHAZY,12992,CLINTON,840,-73.5074,44.82074
AUSABLE FORKS FREE LIBRARY,9 CHURCH LANE,AUSABLE FORKS,12912,ESSEX,4080,-73.6786,44.43938
HAMMOND LIBRARY OF CROWN POINT,2732 MAIN STREET,CROWN POINT,12928,ESSEX,4156,-73.4267,43.95069
ELIZABETHTOWN LIBRARY ASSOCIATION,8256 RIVER STREET,ELIZABETHTOWN,12932,ESSEX,1000,-73.5874,44.21451
BELDEN NOBLE MEMORIAL LIBRARY OF ESSEX,2759 ESSEX RD.,ESSEX,12936,ESSEX,1936,-73.3519,44.31072
KEENE PUBLIC LIBRARY,10928 NYS ROUTE 9N,KEENE,12942,ESSEX,1659,-73.7921,44.25635
KEENE VALLEY LIBRARY ASSOCIATION,1796 MAIN STREET,KEENE VALLEY,12943,ESSEX,5000,-73.7862,44.19045
KEESEVILLE FREE LIBRARY,1721 FRONT STREET,KEESEVILLE,12944,ESSEX,1675,-73.4804,44.50434
LAKE PLACID PUBLIC LIBRARY,2471 MAIN STREET,LAKE PLACID,12946,ESSEX,8000,-73.9852,44.28906
SHERMAN FREE LIBRARY,20 CHURCH STREET,PORT HENRY,12974,ESSEX,1508,-73.4602,44.04765
SCHROON LAKE PUBLIC LIBRARY,15 LELAND AVENUE,SCHROON LAKE,12870,ESSEX,2000,-73.7601,43.8366
TICONDEROGA BLACK WATCH MEMORIAL LIBRARY,99 MONTCALM STREET,TICONDEROGA,12883,ESSEX,4600,-73.4254,43.84877
WELLS MEMORIAL LIBRARY,12230 NYS RTE 9N,UPPER JAY,12987,ESSEX,2077,-73.7737,44.33831
WADHAMS FREE LIBRARY,763 NYS ROUTE 22,WADHAMS,12993,ESSEX,1200,-73.4609,44.22988
WESTPORT LIBRARY ASSOCIATION,6 HARRIS LANE,WESTPORT,12993,ESSEX,5550,-73.4342,44.18193
PAINE MEMORIAL FREE LIBRARY,2 GILLILAND LANE,WILLSBORO,12996,ESSEX,1302,-73.3903,44.36391
WILMINGTON E.M. COOPER MEMORIAL P L,5751 ROUTE 86,WILMINGTON,12997,ESSEX,1800,-73.8166,44.38882
CHATEAUGAY MEMORIAL LIBRARY,4 JOHN STREET,CHATEAUGAY,12920,FRANKLIN,2700,-74.0785,44.92669
"AKWESASNE CULTURAL CENTER, INC.",321 STATE ROUTE 37,HOGANSBURG,13655,FRANKLIN,4000,-74.6939,44.97833
THE WEAD LIBRARY,64 ELM STREET,MALONE,12953,FRANKLIN,11000,-74.2894,44.85107
SARANAC LAKE FREE LIBRARY,109 MAIN STREET,SARANAC LAKE,12983,FRANKLIN,13978,-74.1303,44.32716
TUPPER LAKE PUBLIC LIBRARY,41 LAKE STREET,TUPPER LAKE,12986,FRANKLIN,10318,-74.4663,44.22371
SEYMOUR PUBLIC LIBRARY DISTRICT,176-178 GENESEE STREET,AUBURN,13021,CAYUGA,20000,-76.5716,42.929
AURORA FREE LIBRARY,370 MAIN STREET,AURORA,13026,CAYUGA,3900,-76.7023,42.75389
STEWART B. LANG MEMORIAL LIBRARY,2577 EAST MAIN STREET,CATO,13033,CAYUGA,2280,-76.5692,43.16895
VILLAGE OF FAIR HAVEN PUBLIC LIBRARY,14426 SOUTH RICHMOND AVENUE,FAIR HAVEN,13064,CAYUGA,660,-76.7035,43.31485
POWERS LIBRARY ASSOCIATION,29 CHURCH STREET,MORAVIA,13118,CAYUGA,4500,-76.4183,42.71066
HAZARD LIBRARY ASSOCIATION,2487 ROUTE 34B,POPLAR RIDGE,13139,CAYUGA,1431,-76.618,42.73859
SPRINGPORT FREE LIBRARY,171 CAYUGA STREET,UNION SPRINGS,13160,CAYUGA,2587,-76.6917,42.84282
WEEDSPORT FREE LIBRARY,2795 EAST BRUTUS STREET,WEEDSPORT,13166,CAYUGA,4200,-76.5571,43.04789
KELLOGG FREE LIBRARY,5681 TELEPHONE ROAD EXTENSION,CINCINNATUS,13040,CORTLAND,5000,-75.9012,42.54162
CORTLAND FREE LIBRARY,32 CHURCH STREET,CORTLAND,13045,CORTLAND,30200,-76.1779,42.5997
PHILLIPS FREE LIBRARY,37 SOUTH MAIN STREET,HOMER,13077,CORTLAND,3820,-76.1786,42.63552
LAMONT MEMORIAL FREE LIBRARY,5 MAIN STREET,MCGRAW,13101,CORTLAND,2169,-76.0943,42.59584
PECK MEMORIAL LIBRARY,24 MAIN STREET,MARATHON,13803,CORTLAND,3052,-76.0333,42.44122
INTERLAKEN PUBLIC LIBRARY,8390 MAIN STREET,INTERLAKEN,14847,SENECA,1300,-76.7248,42.6179
LODI WHITTIER LIBRARY,8484 SOUTH MAIN STREET,LODI,14860,SENECA,2500,-76.8229,42.61298
"EDITH B. FORD MEMORIAL LIBRARY OF OVID, NEW YORK",7169 NORTH MAIN STREET,OVID,14521,SENECA,3440,-76.8226,42.67733
SENECA FALLS LIBRARY,47 CAYUGA STREET,SENECA FALLS,13148,SENECA,11900,-76.7947,42.91403
BOOKMOBILE,47 CAYUGA STREET,SENECA FALLS,13148,SENECA,-4,-76.7947,42.91403
WATERLOO LIBRARY AND HISTORICAL SOCIETY,31 EAST WILLIAMS STREET,WATERLOO,13165,SENECA,4790,-76.8611,42.90554
BERKSHIRE FREE LIBRARY,12519 STATE ROUTE 38,BERKSHIRE,13736,TIOGA,1728,-76.1857,42.30647
CANDOR FREE LIBRARY,2 BANK STREET,CANDOR,13743,TIOGA,2255,-76.3415,42.2323
TAPPAN-SPAULDING MEMORIAL LIBRARY,6 ROCK STREET,NEWARK VALLEY,13811,TIOGA,1830,-76.1831,42.22334
GEORGE P. & SUSAN PLATT CADY LIBRARY,42 RIVER STREET,NICHOLS,13812,TIOGA,1500,-76.3664,42.02185
COBURN FREE LIBRARY,275 MAIN STREET,OWEGO,13827,TIOGA,10000,-76.2587,42.10544
SPENCER LIBRARY,41 NORTH MAIN STREET,SPENCER,14883,TIOGA,2103,-76.4925,42.21167
WAVERLY FREE LIBRARY,18 ELIZABETH STREET,WAVERLY,14892,TIOGA,6000,-76.5407,42.00191
GROTON PUBLIC LIBRARY,112 EAST CORTLAND STREET,GROTON,13073,TOMPKINS,6000,-76.3675,42.59068
TOMPKINS COUNTY PUBLIC LIBRARY,101 EAST GREEN STREET,ITHACA,14850,TOMPKINS,60888,-76.4988,42.4386
NEWFIELD PUBLIC LIBRARY,198 MAIN STREET,NEWFIELD,14867,TOMPKINS,4389,-76.5915,42.36157
ULYSSES PHILOMATHIC LIBRARY,74 EAST MAIN STREET,TRUMANSBURG,14886,TOMPKINS,7900,-76.6584,42.54091
BROOME COUNTY PUBLIC LIBRARY,185 COURT STREET,BINGHAMTON,13901,BROOME,72000,-75.9063,42.10009
DEPOSIT FREE LIBRARY,159 FRONT STREET,DEPOSIT,13754,BROOME,2600,-75.4251,42.06087
GEORGE F. JOHNSON MEMORIAL LIBRARY,1001 PARK STREET,ENDICOTT,13760,BROOME,17200,-76.0512,42.09834
FENTON FREE LIBRARY,1062 CHENANGO STREET,BINGHAMTON,13901,BROOME,6208,-75.8893,42.14636
YOUR HOME PUBLIC LIBRARY,107 MAIN STREET,JOHNSON CITY,13790,BROOME,13099,-75.9494,42.11292
LISLE FREE LIBRARY,8998 MAIN STREET,LISLE,13797,BROOME,3140,-76.0025,42.35076
NINEVEH PUBLIC LIBRARY OF COLESVILLE TOWNSHIP,3029 NY STATE HWY 7,NINEVEH,13813,BROOME,1056,-75.6024,42.1938
VESTAL PUBLIC LIBRARY,320 VESTAL PARKWAY EAST,VESTAL,13850,BROOME,21000,-76.0469,42.08775
MARY WILCOX MEMORIAL LIBRARY,2630 MAIN STREET,WHITNEY POINT,13862,BROOME,2400,-75.9695,42.32906
AFTON FREE LIBRARY,105 A MAIN STREET,AFTON,13730,CHENANGO,1966,-75.5281,42.22533
BAINBRIDGE FREE LIBRARY,13 NORTH MAIN STREET,BAINBRIDGE,13733,CHENANGO,1200,-75.4788,42.29394
MOORE MEMORIAL LIBRARY,59 GENESEE STREET,GREENE,13778,CHENANGO,10794,-75.7712,42.32999
NEW BERLIN LIBRARY,15 SOUTH MAIN STREET,NEW BERLIN,13411,CHENANGO,6930,-75.3322,42.62394
GUERNSEY MEMORIAL LIBRARY,3 COURT STREET,NORWICH,13815,CHENANGO,11000,-75.5251,42.53165
OXFORD MEMORIAL LIBRARY,8 FORT HILL PARK,OXFORD,13830,CHENANGO,5729,-75.5956,42.44091
MCDONOUGH BRANCH LIBRARY,115 COUNTY RT 7,MCDONOUGH,13801,CHENANGO,1920,-75.7678,42.49952
SHERBURNE PUBLIC LIBRARY,2 EAST STATE STREET,SHERBURNE,13460,CHENANGO,5900,-75.4988,42.67817
SMYRNA PUBLIC LIBRARY,7 EAST MAIN STREET,SMYRNA,13464,CHENANGO,900,-75.5703,42.68739
SOUTH NEW BERLIN FREE LIBRARY,3320 STATE HIGHWAY 8,SOUTH NEW BERLIN,13843,CHENANGO,2876,-75.3845,42.53012
ANDES PUBLIC LIBRARY,242 MAIN STREET,ANDES,13731,DELAWARE,1600,-74.7811,42.19084
FAIRVIEW PUBLIC LIBRARY,43 WALNUT STREET,MARGARETVILLE,12455,DELAWARE,2400,-74.6494,42.14876
BOVINA PUBLIC LIBRARY,33 MAPLE AVENUE,BOVINA CENTER,13740,DELAWARE,1455,-74.7811,42.26251
CANNON FREE LIBRARY,40 ELM STREET,DELHI,13753,DELAWARE,4426,-74.9184,42.27432
SKENE MEMORIAL LIBRARY,1017 MAIN STREET,FLEISCHMANNS,12430,DELAWARE,3600,-74.529,42.15661
FRANKLIN FREE LIBRARY,334 MAIN STREET,FRANKLIN,13775,DELAWARE,2200,-75.166,42.33886
LOUISE ADELIA READ MEMORIAL LIBRARY,104 READ STREET,HANCOCK,13783,DELAWARE,5800,-75.2809,41.95595
ROXBURY LIBRARY ASSOCIATION,53742 STATE HIGHWAY 30,ROXBURY,12474,DELAWARE,3350,-74.5631,42.28685
SIDNEY MEMORIAL PUBLIC LIBRARY,8 RIVER STREET,SIDNEY,13838,DELAWARE,15000,-75.393,42.31575
MASONVILLE BRANCH LIBRARY,15565 STATE HIGHWAY 8,MASONVILLE,13804,DELAWARE,2400,-75.3789,42.24344
SIDNEY CENTER BRANCH LIBRARY,10599 COUNTY HIGHWAY 23 APT. A,SIDNEY CENTER,13839,DELAWARE,900,-75.2576,42.29247
STAMFORD VILLAGE LIBRARY,117 MAIN STREET,STAMFORD,12167,DELAWARE,2744,-74.6187,42.40939
WILLIAM B. OGDEN FREE LIBRARY,42 GARDINER PLACE,WALTON,13856,DELAWARE,7560,-75.128,42.16971
CHERRY VALLEY MEMORIAL LIBRARY,61 MAIN STREET,CHERRY VALLEY,13320,OTSEGO,1212,-74.7505,42.79759
VILLAGE LIBRARY OF COOPERSTOWN,22 MAIN STREET,COOPERSTOWN,13326,OTSEGO,2700,-74.9224,42.7001
EDMESTON FREE LIBRARY,6 WEST STREET,EDMESTON,13335,OTSEGO,1290,-75.2446,42.69773
GILBERTSVILLE FREE LIBRARY,17 COMMERCIAL STREET,GILBERTSVILLE,13776,OTSEGO,1410,-75.3258,42.47137
KINNEY MEMORIAL LIBRARY,3140 COUNTY ROUTE 11,HARTWICK,13348,OTSEGO,2113,-75.0457,42.66016
MILFORD FREE LIBRARY,64 SOUTH MAIN STREET,MILFORD,13807,OTSEGO,690,-74.9457,42.5901
MORRIS LIBRARY,152 MAIN STREET,MORRIS,13808,OTSEGO,1800,-75.2431,42.54917
HUNTINGTON MEMORIAL LIBRARY,62 CHESTNUT STREET,ONEONTA,13820,OTSEGO,15000,-75.0644,42.4538
HARRIS MEMORIAL LIBRARY,334 MAIN STREET,OTEGO,13825,OTSEGO,1250,-75.1743,42.3963
RICHFIELD SPRINGS PUBLIC LIBRARY,102 MAIN STREET,RICHFIELD SPRINGS,13439,OTSEGO,3408,-74.9888,42.85396
UNADILLA PUBLIC LIBRARY,193 MAIN STREET,UNADILLA,13849,OTSEGO,1454,-75.3156,42.32493
WORCESTER FREE LIBRARY,168 MAIN STREET SUITE 2,WORCESTER,12197,OTSEGO,612,-74.7487,42.59215
CANAAN PUBLIC LIBRARY,1647 RTE. 5,CANAAN,12029,COLUMBIA,400,-73.4484,42.412
CHATHAM PUBLIC LIBRARY,11 WOODBRIDGE AVE,CHATHAM,12037,COLUMBIA,7438,-73.6025,42.3617
GERMANTOWN LIBRARY,31 PALATINE PARK ROAD,GERMANTOWN,12526,COLUMBIA,3000,-73.8867,42.13781
ROELIFF JANSEN COMMUNITY LIBRARY ASSOCIATION,9091 STATE ROUTE 22,HILLSDALE,12529,COLUMBIA,7500,-73.5174,42.16918
HUDSON AREA ASSOCIATION LIBRARY,51 N. 5TH ST,HUDSON,12534,COLUMBIA,11000,-73.7848,42.25091
KINDERHOOK MEMORIAL LIBRARY,18 HUDSON STREET,KINDERHOOK,12106,COLUMBIA,2570,-73.6967,42.3939
LIVINGSTON FREE LIBRARY,90 OLD POST ROAD,LIVINGSTON,12541,COLUMBIA,476,-73.7147,42.11678
NEW LEBANON LIBRARY,550 STATE ROUTE 20,NEW LEBANON,12125,COLUMBIA,3170,-73.3941,42.46554
NORTH CHATHAM FREE LIBRARY,4287 STATE ROUTE 203,NORTH CHATHAM,12132,COLUMBIA,1500,-73.633,42.47442
PHILMONT PUBLIC LIBRARY,101 MAIN STREET,PHILMONT,12565,COLUMBIA,2674,-73.65,42.24891
VALATIE FREE LIBRARY,1036 KINDERHOOK STREET,VALATIE,12184,COLUMBIA,1730,-73.683,42.41255
AMENIA FREE LIBRARY,3309 ROUTE 343,AMENIA,12501,DUTCHESS,880,-73.5556,41.84983
HOWLAND PUBLIC LIBRARY,313 MAIN STREET,BEACON,12508,DUTCHESS,15562,-73.9707,41.50544
DOVER PLAINS LIBRARY,1797 ROUTE 22,WINGDALE,12594,DUTCHESS,5000,-73.563,41.64792
EAST FISHKILL PUBLIC LIBRARY DISTRICT,348 ROUTE 376,HOPEWELL JUNCTION,12533,DUTCHESS,11972,-73.8072,41.57523
BLODGETT MEMORIAL LIBRARY DISTRICT OF FISHKILL,37 BROAD STREET,FISHKILL,12524,DUTCHESS,8650,-73.9021,41.53361
HYDE PARK LIBRARY DISTRICT,2 MAIN STREET,HYDE PARK,12538,DUTCHESS,3296,-73.9357,41.79025
MILLBROOK LIBRARY,3 FRIENDLY LANE,MILLBROOK,12545,DUTCHESS,15000,-73.6921,41.78563
NORTHEAST-MILLERTON LIBRARY,75 MAIN STREET,MILLERTON,12546,DUTCHESS,3000,-73.5075,41.95326
PAWLING FREE LIBRARY,11 BROAD STREET,PAWLING,12564,DUTCHESS,3148,-73.6021,41.56365
PINE PLAINS FREE LIBRARY,7775 SOUTH MAIN STREET,PINE PLAINS,12567,DUTCHESS,875,-73.656,41.97752
PLEASANT VALLEY FREE LIBRARY,3 MAGGIACOMO LANE,PLEASANT VALLEY,12569,DUTCHESS,4800,-73.824700000000007,41.74405
ADRIANCE MEMORIAL LIBRARY,93 MARKET STREET,POUGHKEEPSIE,12601,DUTCHESS,42000,-73.9305,41.7009
BOARDMAN ROAD BRANCH LIBRARY,141 BOARDMAN ROAD,POUGHKEEPSIE,12603,DUTCHESS,25000,-73.889,41.66042
LAGRANGE ASSOCIATION LIBRARY,488 FREEDOM PLAINS ROAD,POUGHKEEPSIE,12603,DUTCHESS,5751,-73.8544,41.68012
BEEKMAN LIBRARY,11 TOWN CENTER BLVD,HOPEWELL JUNCTION,12533,DUTCHESS,5200,-73.6933,41.63072
RED HOOK PUBLIC LIBRARY,7444 SOUTH BROADWAY,RED HOOK,12571,DUTCHESS,4760,-73.8769,41.99358
STARR LIBRARY,68 WEST MARKET STREET,RHINEBECK,12572,DUTCHESS,10684,-73.918,41.9268
MORTON MEMORIAL LIBRARY AND COMMUNITY HOUS,82 KELLY STREET,RHINECLIFF,12574,DUTCHESS,11000,-73.9511,41.91895
STAATSBURG LIBRARY,72 OLD POST ROAD,STAATSBURG,12580,DUTCHESS,1600,-73.9281,41.85046
STANFORD FREE LIBRARY,14 CREAMERY ROAD,STANFORDVILLE,12581,DUTCHESS,1511,-73.7108,41.87008
TIVOLI FREE LIBRARY,86 BROADWAY,TIVOLI,12583,DUTCHESS,1800,-73.912,42.0591
GRINNELL PUBLIC LIBRARY DISTRICT,2642 EAST MAIN STREET,WAPPINGERS FALLS,12590,DUTCHESS,5600,-73.9188,41.59841
D.R. EVARTS LIBRARY,80 SECOND STREET,ATHENS,12015,GREENE,2780,-73.8121,42.26176
CAIRO PUBLIC LIBRARY,15 RAILROAD AVE,CAIRO,12413,GREENE,7500,-73.9994,42.3005
CATSKILL PUBLIC LIBRARY,1 FRANKLIN ST,CATSKILL,12414,GREENE,7797,-73.8642,42.21782
PALENVILLE BRANCH LIBRARY,3335 ROUTE 23A,PALENVILLE,12463,GREENE,1965,-74.0222,42.17501
HEERMANCE MEMORIAL LIBRARY,1 ELY STREET,COXSACKIE,12051,GREENE,2100,-73.7972,42.35156
GREENVILLE PUBLIC LIBRARY,8 NORTH STREET,GREENVILLE,12083,GREENE,5133,-74.0687,42.41166
MOUNTAIN TOP LIBRARY,6093 MAIN STREET,TANNERSVILLE,12485,GREENE,8053,-74.1375,42.19553
HUNTER PUBLIC LIBRARY,7965 MAIN STREET,HUNTER,12442,GREENE,2400,-74.2184,42.21307
WINDHAM PUBLIC LIBRARY,5379 CHURCH STREET,WINDHAM,12496,GREENE,2209,-74.2692,42.30585
BREWSTER PUBLIC LIBRARY,79 MAIN STREET,BREWSTER,10509,PUTNAM,4000,-73.6164,41.39445
REED MEMORIAL LIBRARY,1733 ROUTE 6,CARMEL,10512,PUTNAM,2200,-73.6779,41.42203
JULIA L. BUTTERFIELD MEMORIAL LIBRARY,10 MORRIS AVENUE,COLD SPRING,10516,PUTNAM,3500,-73.9556,41.42064
ALICE CURTIS DESMOND AND HAMILTON FISH LIBRARY,472 ROUTE 403,GARRISON,10524,PUTNAM,9467,-73.9432,41.37583
KENT PUBLIC LIBRARY,17 SYBILS CROSSING,KENT LAKES,10512,PUTNAM,10300,-73.6697,41.47952
PATTERSON LIBRARY,1167 ROUTE 311,PATTERSON,12563,PUTNAM,7500,-73.6019,41.51365
PUTNAM VALLEY FREE LIBRARY,30 OSCAWANA LAKE ROAD,PUTNAM VALLEY,10579,PUTNAM,8200,-73.8743,41.33688
HIGHLAND PUBLIC LIBRARY,14 ELTING PLACE,HIGHLAND,12528,ULSTER,10250,-73.9672,41.72227
CLINTONDALE BRANCH,CRESENT AVENUE AT MAPLE STREET,CLINTONDALE,12515,ULSTER,1050,-74.0553,41.68955
HURLEY LIBRARY DISTRICT,48 MAIN STREET,HURLEY,12443,ULSTER,2858,-74.0631,41.92543
KINGSTON LIBRARY,55 FRANKLIN STREET,KINGSTON,12401,ULSTER,16000,-74.0101,41.92965
TOWN OF ULSTER PUBLIC LIBRARY,860 ULSTER AVENUE,KINGSTON,12401,ULSTER,5400,-73.9944,41.95443
MARLBORO FREE LIBRARY,1251 ROUTE 9W,MARLBORO,12542,ULSTER,7970,-73.9724,41.60234
SARAH HULL HALLOCK FREE LIBRARY,56-58 MAIN STREET,MILTON,12547,ULSTER,3600,-73.9579,41.65935
PLATTEKILL PUBLIC LIBRARY,2047 ROUTE 32,MODENA,12548,ULSTER,1664,-74.1077,41.6646
ELTING MEMORIAL LIBRARY,93 MAIN STREET,NEW PALTZ,12561,ULSTER,13000,-74.0848,41.74816
PHOENICIA LIBRARY,48 MAIN STREET,PHOENICIA,12464,ULSTER,3235,-74.3146,42.08316
MORTON MEMORIAL LIBRARY,22 ELM STREET,PINE HILL,12465,ULSTER,1531,-74.4793,42.13385
TOWN OF ESOPUS LIBRARY,128 CANAL STREET,PORT EWEN,12466,ULSTER,9100,-73.9756,41.90967
ROSENDALE LIBRARY,264 MAIN STREET,ROSENDALE,12472,ULSTER,1300,-74.0759,41.84536
SAUGERTIES PUBLIC LIBRARY,91 WASHINGTON AVENUE,SAUGERTIES,12477,ULSTER,13176,-73.9495,42.07779
STONE RIDGE PUBLIC LIBRARY,3700 MAIN STREET,STONE RIDGE,12484,ULSTER,4960,-74.143,41.84865
WEST HURLEY PUBLIC LIBRARY,42 CLOVER STREET,WEST HURLEY,12491,ULSTER,3720,-74.1034,42.00041
