SizeRank,Zip,RegionType,StateName,State,City,Metro,CountyName,ZHVI_3mo
11349,24609,Zip,VA,VA,Cedar Bluff,Bluefield,Tazewell County,105178
11349,17059,Zip,PA,PA,Fermanagh Township,,Juniata County,169433
11349,71075,Zip,LA,LA,Springhill,Shreveport-Bossier City,Webster Parish,90086
11352,83861,Zip,ID,ID,Saint Maries,,Benewah County,212427
11353,54217,Zip,WI,WI,Luxemburg,Green Bay,Kewaunee County,216705
11353,36607,Zip,AL,AL,Mobile,Mobile,Mobile County,69663
11355,29477,Zip,SC,SC,Saint George,Charleston-North Charleston,Dorchester County,150079
11356,6085,Zip,CT,CT,Farmington,Hartford-West Hartford-East Hartford,Hartford County,298425
11356,12754,Zip,NY,NY,Town of Liberty,,Sullivan County,126758
11358,48158,Zip,MI,MI,Manchester,Ann Arbor,Washtenaw County,262341
11358,73077,Zip,OK,OK,Perry,,Noble County,80011
11360,28605,Zip,NC,NC,Blowing Rock,Boone,Watauga County,430566
11361,84042,Zip,UT,UT,Lindon,Provo-Orem,Utah County,557851
11361,54155,Zip,WI,WI,Hobart,Green Bay,Brown County,311074
11363,50213,Zip,IA,IA,Osceola,,Clarke County,113274
11363,97048,Zip,OR,OR,Rainier,Portland-Vancouver-Hillsboro,Columbia County,309241
11365,8090,Zip,NJ,NJ,Oak Valley,Philadelphia-Camden-Wilmington,Gloucester County,212864
11366,68333,Zip,NE,NE,Crete,,Saline County,149112
11368,74020,Zip,OK,OK,Cleveland,Tulsa,Pawnee County,103396
11369,3042,Zip,NH,NH,Epping,Boston-Cambridge-Newton,Rockingham County,346594
11371,23517,Zip,VA,VA,Norfolk,Virginia Beach-Norfolk-Newport News,Norfolk City,285966
11372,46701,Zip,IN,IN,Albion,Kendallville,Noble County,154600
11373,18069,Zip,PA,PA,North Whitehall Township,Allentown-Bethlehem-Easton,Lehigh County,360970
11374,20181,Zip,VA,VA,Nokesville,Washington-Arlington-Alexandria,Prince William County,543314
11374,50662,Zip,IA,IA,Oelwein,,Fayette County,73000
11376,29842,Zip,SC,SC,Jackson,Augusta-Richmond County,Aiken County,115415
11376,24630,Zip,VA,VA,North Tazewell,Bluefield,Tazewell County,91610
11376,11705,Zip,NY,NY,Town of Islip,New York-Newark-Jersey City,Suffolk County,563234
11376,39095,Zip,MS,MS,Lexington,,Holmes County,57242
11380,7626,Zip,NJ,NJ,Cresskill,New York-Newark-Jersey City,Bergen County,667670
11380,55944,Zip,MN,MN,Kasson,Rochester,Dodge County,234286
11380,80816,Zip,CO,CO,Florissant,Colorado Springs,Teller County,304057
11383,30415,Zip,GA,GA,Brooklet,Statesboro,Bulloch County,183921
11383,74834,Zip,OK,OK,Chandler,Oklahoma City,Lincoln County,113582
11385,73750,Zip,OK,OK,Kingfisher,,Kingfisher County,148681
11385,61616,Zip,IL,IL,Peoria Heights,Peoria,Peoria County,72509
11387,75752,Zip,TX,TX,Athens,Athens,Henderson County,215231
11387,47396,Zip,IN,IN,Yorktown,Muncie,Delaware County,154553
11387,72476,Zip,AR,AR,Walnut Ridge,,Lawrence County,70688
11387,83856,Zip,ID,ID,Priest River,Sandpoint,Bonner County,316255
11391,3885,Zip,NH,NH,Stratham,Boston-Cambridge-Newton,Rockingham County,507358
11392,18929,Zip,PA,PA,Warwick Township,Philadelphia-Camden-Wilmington,Bucks County,526279
11393,3811,Zip,NH,NH,Atkinson,Boston-Cambridge-Newton,Rockingham County,433499
11394,29565,Zip,SC,SC,Latta,,Dillon County,78728
11394,38485,Zip,TN,TN,Waynesboro,,Wayne County,95086
11394,12498,Zip,NY,NY,Woodstock,Kingston,Ulster County,441076
11397,14779,Zip,NY,NY,Town of Salamanca,Olean,Cattaraugus County,56857
11397,49659,Zip,MI,MI,Mancelona,,Antrim County,100404
11397,36549,Zip,AL,AL,Lillian,Daphne-Fairhope-Foley,Baldwin County,207542
11397,49302,Zip,MI,MI,Caledonia,Grand Rapids-Wyoming,Kent County,340624
11401,33043,Zip,FL,FL,Big Pine Key,Key West,Monroe County,488189
11401,45661,Zip,OH,OH,Piketon,,Pike County,116135
11403,93921,Zip,CA,CA,Carmel-by-the-Sea,Salinas,Monterey County,2101542
11403,15853,Zip,PA,PA,Ridgway Township,St. Marys,Elk County,62316
11405,13029,Zip,NY,NY,Town Of Cicero,Syracuse,Onondaga County,192287
11405,85194,Zip,AZ,AZ,Casa Grande,Phoenix-Mesa-Scottsdale,Pinal County,276576
11405,48450,Zip,MI,MI,Lexington,,Sanilac County,135947
11405,71646,Zip,AR,AR,Hamburg,,Ashley County,77432
11405,72638,Zip,AR,AR,Green Forest,,Carroll County,108185
11410,28651,Zip,NC,NC,Millers Creek,North Wilkesboro,Wilkes County,147851
11410,46392,Zip,IN,IN,Wheatfield,Chicago-Naperville-Elgin,Jasper County,209664
11412,62618,Zip,IL,IL,Beardstown,,Cass County,66754
